Name,Amount,In Use,Available, LocationID
First Aid Kit,10000,9000,1000,WELEV00LL2
Syringe,100,20,80,uSTOR00101
Catheter,19000,2000,17000,uSTOR00101
Dressing,190,20,170,CHALL014L1
Body Bag,19,2,17,FHALL02301
Oxygen Mask,19,2,17,uSTOR02903
Bone Saw,19,2,17,HHALL00802
Stethoscope,19,2,17,uSTOR0L1
Masks,1000,900,100,HHALL01403
Gloves,75,50,25,FDEPT00501
Lollipop,6000000,100000,5900000,uPATI05203
Scalpel,1000000,70000,930000,HHALL00802
Glucometer,50000,10000,40000,uSTOR02603
Large Intestine,40000,20000,2000,FREST00101
Band-aid,400000,200000,20000,WELEV00L02
Ventilator,4000,200,3800,uSTOR02603
